"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"SS/DP Creation Workflow","Customer Form","workflow_state",1,0,0,"48635d9fb2","Pending for RSM Approval","Regional Sales Manager","0","","Pending for RSM Approval",0,"","","efe3076e98","Pending for RSM Approval","Approve Customer","Pending for TOT Approval from Customer","Regional Sales Manager",1,""
"","","","","","","831dd7331e","Resent for RSM Approval &nbsp;","Regional Sales Manager","0","","Resent for RSM Approval",0,"","","9498810edd","Pending for RSM Approval","Reject Customer","Rejected by RSM","Regional Sales Manager",1,""
"","","","","","","c1ddf4bc70","Pending for TOT Approval from Customer","Customer Master Approver","0","","Pending for TOT Approval from Customer",0,"","","477c9ee252","Pending for RSM Approval","Request for More Details","Requested for More Details by RSM","Regional Sales Manager",1,""
"","","","","","","2367df2281","Pending for Master Team Approval","Customer Master Approver","0","","Pending for Master Team Approval",0,"","","c70227a702","Requested for More Details by RSM","Resend for RSM Approval","Resent for RSM Approval &nbsp;","Area Sales Manager",1,"doc.owner == frappe.session.user"
"","","","","","","6ee3824ea0","Resent for Master Team Approval &nbsp;","Customer Master Approver","0","","Resent for Master Team Approval",0,"","","6fc2c24c3b","Resent for RSM Approval &nbsp;","Approve Customer","Pending for TOT Approval from Customer","Regional Sales Manager",1,""
"","","","","","","aa57c06cd3","Customer Approved","Customer Master Approver","0","","Customer Approved",0,"","","94604b8081","Resent for RSM Approval &nbsp;","Reject Customer","Rejected by RSM","Regional Sales Manager",1,""
"","","","","","","5a53d63b33","Rejected by RSM","Administrator","0","","Rejected by RSM",0,"","","88e2162f18","Resent for RSM Approval &nbsp;","Request for More Details","Requested for More Details by RSM","Regional Sales Manager",1,""
"","","","","","","66345e5ae0","TOT Rejected by Customer &nbsp;","Customer Master Approver","0","","TOT Rejected by Customer ",0,"","","68402902b3","Pending for TOT Approval from Customer","TOT Approved by Customer","Pending for Master Team Approval","Customer Master Approver",0,"doc.attach_email"
"","","","","","","271e4d9d24","Requested for More Details by RSM","Area Sales Manager","0","","Requested for More Details by RSM",0,"","","53b27256b5","Pending for TOT Approval from Customer","TOT Rejected by Customer","TOT Rejected by Customer &nbsp;","Customer Master Approver",0,"doc.attach_email"
"","","","","","","54d986ed4d","Requested for More Details by Master Team","Area Sales Manager","0","","Requested for More Details by Master Team",0,"","","7f26acc5ad","Pending for Master Team Approval","Approve Customer","Customer Approved","Customer Master Approver",0,"doc.customer_id"
"","","","","","","","","","","","","","","","031891ce95","Pending for Master Team Approval","Request for More Details","Requested for More Details by Master Team","Customer Master Approver",1,""
"","","","","","","","","","","","","","","","2b13e509cf","Requested for More Details by Master Team","Resend for Master Team Approval","Resent for Master Team Approval &nbsp;","Area Sales Manager",1,"doc.owner == frappe.session.user"
"","","","","","","","","","","","","","","","f6285d38e1","Resent for Master Team Approval &nbsp;","Approve Customer","Customer Approved","Customer Master Approver",0,"doc.customer_id"
