"Workflow Name","Document Type","Workflow State Field","Is Active","Don't Override Status","Send Email Alert","ID (Document States)","State (Document States)","Only Allow Edit For (Document States)","Doc Status (Document States)","Update Field (Document States)","Update Value (Document States)","Is Optional State (Document States)","Next Action Email Template (Document States)","Message (Document States)","ID (Transitions)","State (Transitions)","Action (Transitions)","Next State (Transitions)","Allowed (Transitions)","Allow Self Approval (Transitions)","Condition (Transitions)"
"SS/DP Creation Workflow2","Customer Form","workflow_state",1,0,0,"6b3fdd0578","Pending For Primary Customer Additional Details","Area Sales Manager","0","","Pending For Primary Customer Additional Details",0,"","","b6275e766a","Pending For Primary Customer Additional Details","Send For NSM Approval","Pending for NSM Approval","Area Sales Manager",1,"doc.location != None"
"","","","","","","8f79ee8816","Pending for NSM Approval","National Sales Manager","0","","Pending for NSM Approval",0,"","","f43a23adc0","Pending for NSM Approval","Approve Customer","Pending for TOT Approval from Customer","National Sales Manager",1,""
"","","","","","","616778cc02","Resent for NSM Approval","National Sales Manager","0","","Resent for NSM Approval",0,"","","b3cf8fbff1","Pending for NSM Approval","Reject Customer","Rejected by NSM","National Sales Manager",1,""
"","","","","","","62a28221a0","Pending for TOT Approval from Customer","Primary Customer Master Approver","0","","Pending for TOT Approval from Customer",0,"","","2e2fe3c7a6","Pending for NSM Approval","Request for More Details","Requested for More Details by NSM","National Sales Manager",1,""
"","","","","","","dc267afb5b","Pending with Primary Master Processing","Primary Customer Master Approver","0","","Pending with Primary Master Processing",0,"","","64e9274d96","Requested for More Details by NSM","Resend for NSM Approval","Resent for NSM Approval","Area Sales Manager",1,"doc.owner == frappe.session.user  or doc.asm_user == frappe.session.user"
"","","","","","","c0ff4b83d8","Resent for Primary Master Processing","Primary Customer Master Approver","0","","Resent for Primary Master Processing",0,"","","44c663ee3a","Resent for NSM Approval","Approve Customer","Pending for TOT Approval from Customer","National Sales Manager",1,""
"","","","","","","64ab9f24e7","Primary Customer Approved","Primary Customer Master Approver","0","","Primary Customer Approved",0,"","","81c32a6645","Resent for NSM Approval","Reject Customer","Rejected by NSM","National Sales Manager",1,""
"","","","","","","318bbde04a","Rejected by NSM","Administrator","0","","Rejected by NSM",0,"","","708d5eb9a2","Resent for NSM Approval","Request for More Details","Requested for More Details by NSM","National Sales Manager",1,""
"","","","","","","d614d21440","TOT Rejected by Customer &nbsp;","Primary Customer Master Approver","0","","TOT Rejected by Customer",0,"","","d484e98c66","Pending for TOT Approval from Customer","TOT Approved by Customer","Pending with Primary Master Processing","Primary Customer Master Approver",1,"doc.attach_email"
"","","","","","","ca26c34dd8","Requested for More Details by NSM","Area Sales Manager","0","","Requested for More Details by RSM",0,"","","66165ae6d2","Pending for TOT Approval from Customer","TOT Rejected by Customer","TOT Rejected by Customer &nbsp;","Primary Customer Master Approver",1,"doc.attach_email"
