"State","Icon","Style"
"Lead Rejected","","Warning"
"Resent for Secondary Master Processing","",""
"Resent for Primary Master Processing","",""
"Pending with Primary Master Processing","","Primary"
"Pending with Secondary Master Processing","","Primary"
"Pending For Secondary Customer Additional Details","","Primary"
"Pending For Primary Customer Additional Details","","Primary"
"Secondary Customer Created","","Success"
"Primary Customer Created","","Success"
"Secondary Customer Approved","","Success"
"Primary Customer Approved","","Success"
"Requested for More Details by Secondary Master Team","","Warning"
"Requested for More Details by Primary Master Team","","Warning"
"Requested for More Details by NSM","","Primary"
"Rejected by NSM  ","","Warning"
"Resent for NSM Approval  ","","Warning"
"Pending for NSM Approval","","Primary"
"Pending with Customer Support Team","","Primary"
