Workflow Name,Document Type,Workflow State Field,Is Active,Don't Override Status,Send Email Alert,ID (Document States),State (Document States),Only Allow Edit For (Document States),Doc Status (Document States),Update Field (Document States),Update Value (Document States),Is Optional State (Document States),Next Action Email Template (Document States),Message (Document States),ID (Transitions),State (Transitions),Action (Transitions),Next State (Transitions),Allowed (Transitions),Allow Self Approval (Transitions),Condition (Transitions)
New Transit Issue Workflow,Transit Issue,workflow_state,1,0,0,817afd9661,Pending for confirmation with the Transit complaint Registration Team,Complaint Registering Team,0,,Pending for confirmation with the Transit complaint Registration Team,0,,,ef039c135a,Pending for confirmation with the Transit complaint Registration Team,Approve,Pending for Supply Team Approval,Complaint Registering Team,1,
,,,,,,a812cf185f,Pending for Supply Team Approval,Supply Team,0,,Pending for Supply Team Approval,0,,,eeee403d74,Pending for confirmation with the Transit complaint Registration Team,Reject,Rejected by Transit complaint Registration Team,Complaint Registering Team,1,doc.reason_of_rejection
,,,,,,6cdea6eec1,Rejected by Transit complaint Registration Team,Complaint Registering Team,0,,Rejected by Transit complaint Registration Team,0,,,8945106bb7,Pending for Supply Team Approval,Approve,Pending for Finance Team Approval,Supply Team,1,
,,,,,,251360f035,Rejected by Supply Team,Supply Team,0,,Rejected by Supply Team,0,,,c03b91d850,Pending for Supply Team Approval,Reject,Rejected by Supply Team,Supply Team,1,doc.reason_of_rejection
,,,,,,38af72f30e,Requested for More Details by Finance Team,Supply Team,0,,Requested for More Details by Finance Team,0,,,8e30f9af6e,Requested for More Details by Finance Team,Resend for Finance Team Approval,Resent for Finance Team Approval,Supply Team,1,
,,,,,,2ee9f01249,Pending for Finance Team Approval,Finance Team,0,,Pending for Finance Team Approval,0,,,a87e658a95,Pending for Finance Team Approval,Approve,Issue Closed,Finance Team,1,doc.credit_details
,,,,,,cf4e61126c,Resent for Finance Team Approval,Finance Team,0,,Resent for Finance Team Approval,0,,,2943b44f07,Pending for Finance Team Approval,Reject,Rejected by Finance Team,Finance Team,1,doc.reason_of_rejection
,,,,,,30f6e3e1d0,Rejected by Finance Team,Finance Team,0,,Rejected by Finance Team,0,,,025d99b52b,Pending for Finance Team Approval,Request for More Details,Requested for More Details by Finance Team,Finance Team,1,
,,,,,,d864bba7ff,Issue Closed,Finance Team,0,,Issue Closed,0,,,62762df982,Resent for Finance Team Approval,Approve,Issue Closed,Finance Team,1,doc.credit_details
,,,,,,,,,,,,,,,6cd122c78b,Resent for Finance Team Approval,Reject,Rejected by Finance Team,Finance Team,1,doc.reason_of_rejection
,,,,,,,,,,,,,,,c1276e8202,Resent for Finance Team Approval,Request for More Details,Requested for More Details by Finance Team,Finance Team,1,
