"State","Icon","Style"
"Resent for Quality Head Approval","","Info"
"Rejected by Quality Head","","Danger"
"Requested for More Details by Quality Head","","Warning"
"Pending for Supply Team Review","","Primary"
"Resent for Supply Team Review","","Info"
"Rejected by Supply Team","","Danger"
"Requested for More Details by Supply Team","","Warning"
"Resent for Supply Team Approval","","Warning"
"Pending for Supply Team Approval","","Primary"
"Pending for Quality Team 1 Approval","","Primary"
"Resent for Quality Team 2 Approval","",""
"Pending for Finance Team Approval","","Primary"
"Issue Rejected by Quality Team","","Danger"
"Issue Rejected by Finance Team","","Danger"
"Credit Note Raised","","Success"
"RCA Details Pending","","Info"
"RCA Details Verification Pending","","Warning"
"RCA Approved","","Success"
"Requested for More Details by Quality Team 1","","Inverse"
"Requested for More Details by Quality Team 2","","Inverse"
"Requested for More Details by Quality Team","",""
"Pending for Quality Team Approval","",""
"Resent for Quality Team Approval","",""
"Issue Closed","","Success"
"Pending for Physical Verification Officer  Approval","","Primary"
"Resent for Physical Verification Officer Approval","","Info"
"Requested for More Details by Physical Verification Officer","","Warning"
"Rejected by Physical Verification Officer","","Danger"
"Rejected by Finance Team","","Danger"
"Pending for RCA Details","","Primary"
"Pending for Quality Head Approval","","Primary"
"Pending for Physical Verification Officer Approval","","Primary"
"Requested for More Details by Finance Team","","Warning"
"Resent for Finance Team Approval","","Info"
"Pending","",""
"Approved","","Success"
"Rejected","","Danger"
"RSM Approval Pending","","Primary"
"Customer Master Approval Pending","","Primary"
"Customer Approved","","Success"
"Rejected from RSM","",""
"Rejected by Customer Master Approver","","Danger"
"Awaiting ToT Approval","","Primary"
"Pending for Master Team Approval","","Inverse"
"Resent for Customer Verification","","Warning"
"Resent For RSM Approval","","Warning"
"Resent For Master Team Approval","","Warning"
"Request For More Details","","Info"
"TOT Rejected By Customer","","Danger"
"Pending for TOT Approval from Customer","","Primary"
"Rejected by RSM","","Danger"
"Pending for RSM Approval","","Primary"
"Requested for More Details by Master Team","","Warning"
"Requested for More Details","","Warning"
"TOT Rejected by Customer &nbsp;","","Danger"
"Request for More Details &nbsp;","",""
"Resent for Master Team Approval &nbsp;","","Warning"
"Resent for RSM Approval &nbsp;","","Warning"
"Awaiting TOT Approval &nbsp;","",""
"Requested for More Details by RSM","","Primary"
"Rejected by RSM &nbsp;","",""
