"State","Icon","Style"
"Pending for Supply Team Approval","","Primary"
"Resent for Supply Team Approval","","Warning"
"Requested for More Details by Supply Team","","Warning"
"Rejected by Supply Team","","Danger"
"Resent for Supply Team Review","","Info"
"Pending for Supply Team Review","","Primary"
"Resent for Finance Team Approval","","Warning"
"Requested for More Details by Finance Team","","Warning"
"Pending for Physical Verification Officer Approval","","Primary"
"Pending for Quality Head Approval","","Primary"
"Pending for RCA Details","","Primary"
"Rejected by Finance Team","","Danger"
"Rejected by Physical Verification Officer","","Danger"
"Requested for More Details by Physical Verification Officer","","Warning"
"Resent for Physical Verification Officer Approval","","Info"
"Pending for Physical Verification Officer  Approval","","Primary"
"Issue Closed","","Success"
"Resent for Quality Team Approval","",""
"Pending for Quality Team Approval","",""
"Requested for More Details by Quality Team","",""
"Requested for More Details by Quality Team 2","","Inverse"
"Requested for More Details by Quality Team 1","","Inverse"
"RCA Approved","","Success"
"RCA Details Verification Pending","","Warning"
"RCA Details Pending","","Info"
"Credit Note Raised","","Success"
"Issue Rejected by Finance Team","","Danger"
"Issue Rejected by Quality Team","","Danger"
"Pending for Finance Team Approval","","Primary"
"Resent for Quality Team 2 Approval","",""
"Pending for Quality Team 1 Approval","","Primary"
"Pending","",""
"Rejected","","Danger"
"Customer Master Approval Pending","","Primary"
"Rejected by Customer Master Approver","","Danger"
"Pending for Master Team Approval","","Inverse"
"Resent for Customer Verification","","Warning"
"Resent For RSM Approval","","Warning"
"Resent For Master Team Approval","","Warning"
"Request For More Details","","Info"
"TOT Rejected By Customer","","Danger"
"Requested for More Details by Master Team","","Warning"
"Requested for More Details","","Warning"
"Request for More Details &nbsp;","",""
"Resent for RSM Approval &nbsp;","","Warning"
"Awaiting TOT Approval &nbsp;","",""
"Rejected by RSM &nbsp;","",""
"Approved","","Success"
"RSM Approval Pending","","Primary"
"Customer Approved","","Success"
"Rejected from RSM","",""
"Awaiting ToT Approval","","Primary"
"Pending for TOT Approval from Customer","","Primary"
"Rejected by RSM","","Danger"
"Pending for RSM Approval","","Primary"
"TOT Rejected by Customer &nbsp;","","Danger"
"Resent for Master Team Approval &nbsp;","","Warning"
"Requested for More Details by RSM","","Primary"
